id,collection,theme,theme_label,subniche,lang,title,description,tags,file_dark,file_light
pl_gentil_limite_fr,punchlines,solidarity,Solidarity & Kindness,,fr,Gentil. Mais Y'A Une Limite. - Solidarity & Kindness (French) Design,"« Gentil. Mais Y'A Une Limite. » en typographie or et noir, minimaliste et percutante. Un design pour les bienveillant·es et allié·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #solidarity #typographie","be kind, you matter, solidarity, anti bullying, kindness, gentil, limite, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_gentil_limite_fr__dark.png,produits/punchlines/pl_gentil_limite_fr__light.png
rev_be_kind_quiet_en,revendications,solidarity,Solidarity & Kindness,,en,Be Kind Or Be Quiet - Solidarity & Kindness Typography Design,"""Be Kind Or Be Quiet"" in clean gold-and-black minimalist typography. A statement design for kind people and allies. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #solidarity #typography","be kind, you matter, solidarity, anti bullying, kindness, kind, quiet, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/revendications/rev_be_kind_quiet_en__dark.png,produits/revendications/rev_be_kind_quiet_en__light.png
rev_gentil_gratuit_fr,revendications,solidarity,Solidarity & Kindness,,fr,"Sois Gentil, C'Est Gratuit - Solidarity & Kindness (French) Design","« Sois Gentil, C'Est Gratuit » en typographie or et noir, minimaliste et percutante. Un design pour les bienveillant·es et allié·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #solidarity #typographie","be kind, you matter, solidarity, anti bullying, kindness, sois, gentil, c'est, gratuit, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/revendications/rev_gentil_gratuit_fr__dark.png,produits/revendications/rev_gentil_gratuit_fr__light.png
so_bad_day_en,solidaire,solidarity,Solidarity & Kindness,,en,Bad Day? I've Got You - Solidarity & Kindness Typography Design,"""Bad Day? I've Got You"" in clean gold-and-black minimalist typography. A statement design for kind people and allies. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #solidarity #typography","be kind, you matter, solidarity, anti bullying, kindness, i've, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/solidaire/so_bad_day_en__dark.png,produits/solidaire/so_bad_day_en__light.png
so_check_friends_en,solidaire,solidarity,Solidarity & Kindness,,en,Text Your Friends First - Solidarity & Kindness Typography Design,"""Text Your Friends First"" in clean gold-and-black minimalist typography. A statement design for kind people and allies. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #solidarity #typography","be kind, you matter, solidarity, anti bullying, kindness, text, friends, first, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/solidaire/so_check_friends_en__dark.png,produits/solidaire/so_check_friends_en__light.png
so_demander_aide_fr,solidaire,solidarity,Solidarity & Kindness,,fr,"Demander De L'Aide, C'Est Du Courage - Solidarity & Kindness (French) Design","« Demander De L'Aide, C'Est Du Courage » en typographie or et noir, minimaliste et percutante. Un design pour les bienveillant·es et allié·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #solidarity #typographie","be kind, you matter, solidarity, anti bullying, kindness, demander, l'aide, c'est, courage, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/solidaire/so_demander_aide_fr__dark.png,produits/solidaire/so_demander_aide_fr__light.png
so_gentillesse_fr,solidaire,solidarity,Solidarity & Kindness,,fr,Sois Gentil. Fort. Et Exprès. - Solidarity & Kindness (French) Design,"« Sois Gentil. Fort. Et Exprès. » en typographie or et noir, minimaliste et percutante. Un design pour les bienveillant·es et allié·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #solidarity #typographie","be kind, you matter, solidarity, anti bullying, kindness, sois, gentil, fort, exprès, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/solidaire/so_gentillesse_fr__dark.png,produits/solidaire/so_gentillesse_fr__light.png
so_harcelement_fr,solidaire,solidarity,Solidarity & Kindness,,fr,Le Harcèlement S'Arrête Avec Moi - Solidarity & Kindness (French) Design,"« Le Harcèlement S'Arrête Avec Moi » en typographie or et noir, minimaliste et percutante. Un design pour les bienveillant·es et allié·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #solidarity #typographie","be kind, you matter, solidarity, anti bullying, kindness, harcèlement, s'arrête, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/solidaire/so_harcelement_fr__dark.png,produits/solidaire/so_harcelement_fr__light.png
so_jamais_seul_fr,solidaire,solidarity,Solidarity & Kindness,,fr,Personne Ne Lutte Tout Seul - Solidarity & Kindness (French) Design,"« Personne Ne Lutte Tout Seul » en typographie or et noir, minimaliste et percutante. Un design pour les bienveillant·es et allié·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #solidarity #typographie","be kind, you matter, solidarity, anti bullying, kindness, personne, lutte, seul, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/solidaire/so_jamais_seul_fr__dark.png,produits/solidaire/so_jamais_seul_fr__light.png
so_je_marche_fr,solidaire,solidarity,Solidarity & Kindness,,fr,Besoin ? Je Marche Avec Toi - Solidarity & Kindness (French) Design,"« Besoin ? Je Marche Avec Toi » en typographie or et noir, minimaliste et percutante. Un design pour les bienveillant·es et allié·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #solidarity #typographie","be kind, you matter, solidarity, anti bullying, kindness, besoin, marche, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/solidaire/so_je_marche_fr__dark.png,produits/solidaire/so_je_marche_fr__light.png
